hardware_type,geometry,shape,flush_cache,hardware_chunk_shape,logic_chunk_shape,split_total_time,split_IO_time,merge_total_time,merge_IO_time
SSD,block,"(770, 605, 700)",True,,,37.880837202072144,37.868212938308716,54.612651348114014,54.59722089767456
SSD,block,"(770, 605, 700)",False,,,39.92356085777283,39.91690397262573,20.8196017742157,20.80894374847412
SSD,block,"(770, 605, 700)",False,,"(770, 605, 700)",34.395928144454956,34.38328528404236,12.8751220703125,12.867578983306885
SSD,slab,"(24, 1210, 1400)",False,,,31.862310647964478,31.830629110336304,19.768023252487183,19.722221851348877
SSD,slab,"(24, 1210, 1400)",False,,"(24, 1210, 1400)",44.21019220352173,44.17769432067871,22.090121507644653,21.817041158676147
SSD,block,"(770, 605, 700)",False,"(770, 605, 700)",,30.43099856376648,30.425550937652588,17.159503936767578,17.15393304824829
