hardware_type,geometry,shape,flush_cache,hardware_chunk_shape,logic_chunk_shape,split_total_time,split_IO_time,merge_total_time,merge_IO_time
HDD,block,"(770, 605, 700)",True,,,62.9435830116272,62.907787799835205,94.47053861618042,94.38483309745789
HDD,block,"(770, 605, 700)",False,,,63.89485168457031,63.86935043334961,25.145967483520508,25.13544797897339
HDD,block,"(770, 605, 700)",False,,"(770, 605, 700)",53.11886167526245,53.099255084991455,20.579029083251953,19.572028398513794
HDD,slab,"(1540, 1210, 29)",False,,,106.90064764022827,106.8580093383789,37.60995817184448,37.56872773170471
HDD,slab,"(1540, 1210, 29)",False,,"(1540, 1210, 29)",74.17193174362183,74.13989043235779,82.83584785461426,82.78612065315247
HDD,block,"(770, 605, 700)",False,"(770, 605, 700)",,48.93242645263672,48.91410422325134,21.499606609344482,21.493736505508423
