hardware_type,geometry,shape,flush_cache,hardware_chunk_shape,logic_chunk_shape,split_total_time,split_IO_time,merge_total_time,merge_IO_time
SSD,block,"(770, 605, 700)",True,,,39.45054745674133,39.43930768966675,53.29836821556091,53.285274505615234
SSD,block,"(770, 605, 700)",False,,,38.18812870979309,38.181867837905884,22.56859016418457,22.558389902114868
SSD,block,"(770, 605, 700)",False,,"(770, 605, 700)",33.92710518836975,33.91584348678589,13.177707433700562,13.170088529586792
SSD,slab,"(1540, 1210, 29)",False,,,88.93785762786865,88.91425895690918,36.251128911972046,36.208465576171875
SSD,slab,"(1540, 1210, 29)",False,,"(1540, 1210, 29)",54.30836749076843,54.27978730201721,73.1738121509552,72.97681665420532
SSD,block,"(770, 605, 700)",False,"(770, 605, 700)",,26.618953466415405,26.61318874359131,16.863847494125366,16.857754945755005
