hardware_type,geometry,shape,flush_cache,hardware_chunk_shape,logic_chunk_shape,split_total_time,split_IO_time,merge_total_time,merge_IO_time
HDD,block,"(770, 605, 700)",True,,,64.305579662323,64.25711584091187,89.68860578536987,89.58673930168152
HDD,block,"(770, 605, 700)",False,,,63.78090786933899,63.73290205001831,24.87618350982666,24.865696907043457
HDD,block,"(770, 605, 700)",False,,"(770, 605, 700)",54.346720695495605,54.324466705322266,20.802506685256958,20.794716119766235
HDD,slab,"(1540, 1210, 21)",False,,,132.99551153182983,132.94957613945007,95.54436135292053,95.49221563339233
HDD,slab,"(1540, 1210, 21)",False,,"(1540, 1210, 21)",72.66926002502441,72.61716890335083,69.3880045413971,69.32119584083557
HDD,block,"(770, 605, 700)",False,"(770, 605, 700)",,45.15332889556885,45.13790702819824,24.165277242660522,24.159010648727417
