sample,hardware_type,file_system,strategy,split_time,merge_time
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,183.21712803840637,63.21383333206177
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.NAIVE,161.4070587158203,58.38375425338745
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.MULTIPLE,40.377992391586304,39.6806435585022
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.CLUSTERED,34.62556171417236,33.947792530059814
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,61.097758769989014,66.33725428581238
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,37.1337685585022,33.901493310928345
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.NAIVE,79.13740873336792,44.98347234725952
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,182.5414011478424,62.76823854446411
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,146.93497776985168,54.8247013092041
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.CLUSTERED,35.11456346511841,31.214195013046265
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.CLUSTERED,94.73261165618896,53.94809293746948
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,147.95811367034912,55.63364338874817
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.NAIVE,103.786301612854,53.76976680755615
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,108.13534688949585,56.249107360839844
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,70.11386680603027,43.883949756622314
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,93.43473887443542,54.80915951728821
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.NAIVE,124.84416103363037,52.111244916915894
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,92.41879606246948,54.880942821502686
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.78768062591553,39.83235144615173
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.CLUSTERED,88.99486708641052,55.021584033966064
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.CLUSTERED,37.07259440422058,31.04263401031494
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,150.608234167099,64.43024563789368
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,40.915241718292236,44.683587074279785
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.NAIVE,157.30935549736023,59.698625802993774
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,71.98071813583374,43.496930837631226
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,61.40369725227356,68.21900987625122
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,40.206719160079956,39.8928747177124
