sample,hardware_type,file_system,strategy,split_time,merge_time,split_nb_seeks,merge_nb_seeks,split_read_time,merge_read_time,split_write_time,merge_write_time,split_seek_time,merge_seek_time
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,37.46047616004944,51.14138722419739,2824,3388009,23.185239553451538,0.05442476272583008,2.247390031814575,20.574880123138428,3.743171691894531e-05,11.869009256362915
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.MULTIPLE,69.25971364974976,99.36023092269897,0,3388011,19.865430116653442,0.003854990005493164,2.2695679664611816,33.627498388290405,7.152557373046875e-05,13.952327489852905
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.CLUSTERED,100.95428729057312,103.5862786769867,2824,3388009,86.52488780021667,0.04803347587585449,2.625422954559326,47.95199370384216,3.814697265625e-05,11.796844959259033
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.MULTIPLE,70.63446187973022,101.30013275146484,0,3388011,20.340792179107666,0.003924131393432617,2.235123634338379,34.19736456871033,7.200241088867188e-05,14.620253801345825
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.MULTIPLE,65.18419599533081,102.6037323474884,0,3388011,14.912412881851196,0.00429534912109375,2.2771854400634766,35.07483959197998,7.104873657226562e-05,14.487035512924194
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.CLUSTERED,102.50239706039429,105.36162090301514,2824,3388009,88.16412258148193,0.05327272415161133,2.712672710418701,48.052000761032104,3.552436828613281e-05,11.82319712638855
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,117.61771297454834,83.27962684631348,3726808,3388009,25.13542151451111,24.238624572753906,90.1387631893158,37.92615103721619,0,11.773764610290527
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.NAIVE,75.75463199615479,75.96791863441467,3726808,3388009,27.89377760887146,15.355772733688354,45.469528675079346,39.80402398109436,0,11.568343162536621
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.CLUSTERED,34.92712712287903,48.57928204536438,2824,3388009,20.96569538116455,0.054062843322753906,2.2074904441833496,19.104120016098022,3.719329833984375e-05,11.809096813201904
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,109.64482283592224,136.17169713974,3726808,3388009,56.13005185127258,17.671088933944702,51.03592801094055,97.44143080711365,0,11.661414384841919
bigBrainSample1-0-1.nii,ssd,ext4,Strategy.MULTIPLE,39.40624022483826,58.98785161972046,0,3388011,4.464920520782471,0.003945589065551758,2.3447132110595703,16.268146276474,7.224082946777344e-05,13.824412822723389
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.NAIVE,109.39755034446716,140.63058257102966,3726808,3388009,55.98155117034912,17.81562876701355,51.038283586502075,101.64019227027893,0,11.691579580307007
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.CLUSTERED,41.133289098739624,48.80137395858765,2824,3388009,27.171345710754395,0.05701732635498047,2.157686233520508,19.17796301841736,3.743171691894531e-05,11.750162124633789
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.NAIVE,157.37788224220276,149.91383290290833,3726808,3388009,65.49819660186768,27.24872064590454,89.50820899009705,101.32555937767029,0,11.804376602172852
bigBrainSample0-1-1.nii,hdd,ext4,Strategy.CLUSTERED,103.643807888031,110.94725298881531,2824,3388009,89.65140318870544,0.049475908279418945,2.3792126178741455,50.62114357948303,3.5762786865234375e-05,11.829704284667969
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.CLUSTERED,104.04058504104614,111.17475366592407,2824,3388009,90.22241926193237,0.05091142654418945,2.185715436935425,51.11884021759033,3.62396240234375e-05,11.868526220321655
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.CLUSTERED,104.07966589927673,109.48376750946045,2824,3388009,90.30760073661804,0.05303359031677246,2.1726815700531006,48.08587121963501,3.790855407714844e-05,11.877963542938232
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.NAIVE,117.26757168769836,79.8177707195282,3726808,3388009,24.933192491531372,23.697364568710327,89.9714527130127,35.31689524650574,0,11.561718940734863
bigBrainSample1-1-0.nii,hdd,ext4,Strategy.NAIVE,161.08382415771484,155.70712327957153,3726808,3388009,58.86761999130249,29.567598581314087,99.84280443191528,105.05704379081726,0,11.66407299041748
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.NAIVE,80.48227620124817,74.39229798316956,3726808,3388009,26.32174253463745,16.842082500457764,51.78080201148987,36.61155867576599,0,11.624720335006714
bigBrainSample0-0-1.nii,hdd,ext4,Strategy.MULTIPLE,68.86612677574158,114.39856934547424,0,3388011,16.95364499092102,0.003939628601074219,2.2294325828552246,40.725764751434326,6.937980651855469e-05,14.421094179153442
bigBrainSample1-0-1.nii,hdd,ext4,Strategy.NAIVE,106.28834915161133,146.02816081047058,3726808,3388009,58.485278367996216,16.41291356086731,45.4196572303772,108.38631415367126,0,11.74755072593689
bigBrainSample0-0-1.nii,ssd,ext4,Strategy.NAIVE,78.94376468658447,74.58090686798096,3726808,3388009,25.043618202209473,16.840652227401733,51.4962592124939,37.05896735191345,0,11.515726089477539
bigBrainSample1-1-0.nii,ssd,ext4,Strategy.CLUSTERED,34.458964347839355,49.6215546131134,2824,3388009,20.538930654525757,0.046949148178100586,2.2423994541168213,19.867388248443604,3.814697265625e-05,11.686885595321655
bigBrainSample1-1-1.nii,ssd,ext4,Strategy.NAIVE,150.61869764328003,87.26544523239136,3726808,3388009,26.351367950439453,29.702125310897827,121.89927005767822,36.57105541229248,0,11.657638311386108
bigBrainSample0-1-1.nii,ssd,ext4,Strategy.CLUSTERED,34.266175746917725,51.112109661102295,2824,3388009,20.50052285194397,0.05637478828430176,2.1828720569610596,20.673723220825195,3.552436828613281e-05,11.880114793777466
bigBrainSample1-1-1.nii,hdd,ext4,Strategy.NAIVE,182.71081590652466,170.34608387947083,3726808,3388009,58.23116064071655,36.45060610771179,122.13658165931702,112.79568004608154,0,11.714311838150024
