hardware_type,file_system,function,iteration,nb_runs,seek_distance,time
hdd,ext4,rand_python_time,3,1000000,,7.63905763626e-07
hdd,ext4,rand_python_time,4,1000000,,7.67444849014e-07
hdd,ext4,rand_python_time,5,1000000,,7.68759727478e-07
hdd,ext4,rand_python_time,6,1000000,,7.63767242432e-07
hdd,ext4,rand_python_time,7,1000000,,7.72283792496e-07
,,timeit_random_,0,1000000,,0.844106912613
,,timeit_random_,1,1000000,,0.841633081436
,,timeit_random_,2,1000000,,0.84251499176
,,timeit_random_,3,1000000,,0.823987960815
,,timeit_random_,4,1000000,,0.833512067795
,,timeit_random_,5,1000000,,0.844197034836
,,timeit_random_,6,1000000,,0.842121124268
,,timeit_random_,7,1000000,,0.841585874557
ram,tmpfs,timeit_seeks_random,0,1000000,,1.52758789062
ram,tmpfs,timeit_seeks_random,1,1000000,,1.54185986519
ram,tmpfs,timeit_seeks_random,2,1000000,,1.55081295967
ram,tmpfs,timeit_seeks_random,3,1000000,,1.54450011253
ram,tmpfs,timeit_seeks_random,4,1000000,,1.54513287544
ram,tmpfs,timeit_seeks_random,5,1000000,,1.52433109283
ram,tmpfs,timeit_seeks_random,6,1000000,,1.55057191849
ram,tmpfs,timeit_seeks_random,7,1000000,,1.53590703011
ssd,ext4,timeit_seeks_random,0,1000000,,1.52520990372
ssd,ext4,timeit_seeks_random,1,1000000,,1.55269789696
ssd,ext4,timeit_seeks_random,2,1000000,,1.52781486511
ssd,ext4,timeit_seeks_random,3,1000000,,1.55530190468
ssd,ext4,timeit_seeks_random,4,1000000,,1.52519798279
ssd,ext4,timeit_seeks_random,5,1000000,,1.54684185982
ssd,ext4,timeit_seeks_random,6,1000000,,1.54063105583
ssd,ext4,timeit_seeks_random,7,1000000,,1.50845885277
hdd,ext4,timeit_seeks_random,0,1000000,,1.56991696358
hdd,ext4,timeit_seeks_random,1,1000000,,1.54904508591
hdd,ext4,timeit_seeks_random,2,1000000,,1.55036997795
hdd,ext4,timeit_seeks_random,3,1000000,,1.57815909386
hdd,ext4,timeit_seeks_random,4,1000000,,1.57278513908
hdd,ext4,timeit_seeks_random,5,1000000,,1.56515598297
hdd,ext4,timeit_seeks_random,6,1000000,,1.53614401817
hdd,ext4,timeit_seeks_random,7,1000000,,1.56717610359
ram,tmpfs,timeit_seek_and_read,0,1000000,5000,2.23027610779
ram,tmpfs,timeit_seek_and_read,1,1000000,5000,2.27936506271
ram,tmpfs,timeit_seek_and_read,2,1000000,5000,2.23656320572
ram,tmpfs,timeit_seek_and_read,3,1000000,5000,2.2221801281
ram,tmpfs,timeit_seek_and_read,4,1000000,5000,2.23333001137
ram,tmpfs,timeit_seek_and_read,5,1000000,5000,2.24127316475
ram,tmpfs,timeit_seek_and_read,6,1000000,5000,2.22366499901
ram,tmpfs,timeit_seek_and_read,7,1000000,5000,2.2234210968
ssd,ext4,timeit_seek_and_read,0,1000000,5000,2.24978113174
ssd,ext4,timeit_seek_and_read,1,1000000,5000,2.19909882545
ssd,ext4,timeit_seek_and_read,2,1000000,5000,2.19853281975
