hardware_type,file_system,function,iteration,seek_distance,time
ram,tmpfs,seek_and_write,3,50000,15.8214278221
ram,tmpfs,seek_and_write,4,50000,15.2163698673
ram,tmpfs,seek_and_write,5,50000,15.405864954
ram,tmpfs,seek_and_write,6,50000,15.4959349632
ram,tmpfs,seek_and_write,7,50000,15.4568228722
hdd,ext4,seek_and_write,0,50000,225.101833105
hdd,ext4,seek_and_write,1,50000,228.516057014
hdd,ext4,seek_and_write,2,50000,230.880684853
hdd,ext4,seek_and_write,3,50000,223.147747993
hdd,ext4,seek_and_write,4,50000,218.388715982
hdd,ext4,seek_and_write,5,50000,230.750934124
hdd,ext4,seek_and_write,6,50000,237.064097881
hdd,ext4,seek_and_write,7,50000,255.782701969
ram,tmpfs,seek_and_write,0,100000,18.3712379932
ram,tmpfs,seek_and_write,1,100000,17.3558659554
ram,tmpfs,seek_and_write,2,100000,16.8140590191
ram,tmpfs,seek_and_write,3,100000,16.7021529675
ram,tmpfs,seek_and_write,4,100000,16.7693691254
ram,tmpfs,seek_and_write,5,100000,16.0974059105
ram,tmpfs,seek_and_write,6,100000,17.0309638977
ram,tmpfs,seek_and_write,7,100000,17.1114690304
hdd,ext4,seek_and_write,0,100000,246.085594893
hdd,ext4,seek_and_write,1,100000,234.492846012
hdd,ext4,seek_and_write,2,100000,227.492107868
hdd,ext4,seek_and_write,3,100000,301.601995945
hdd,ext4,seek_and_write,4,100000,321.261367083
hdd,ext4,seek_and_write,5,100000,327.028269053
hdd,ext4,seek_and_write,6,100000,254.498192072
hdd,ext4,seek_and_write,7,100000,250.485510826
ram,tmpfs,seek_and_write,0,500000,17.368074894
ram,tmpfs,seek_and_write,1,500000,17.6049089432
ram,tmpfs,seek_and_write,2,500000,17.0139322281
ram,tmpfs,seek_and_write,3,500000,16.9193918705
ram,tmpfs,seek_and_write,4,500000,16.7249090672
ram,tmpfs,seek_and_write,5,500000,16.6998939514
ram,tmpfs,seek_and_write,6,500000,16.0044989586
ram,tmpfs,seek_and_write,7,500000,15.9559869766
hdd,ext4,seek_and_write,0,500000,220.703150988
hdd,ext4,seek_and_write,1,500000,219.996203899
hdd,ext4,seek_and_write,2,500000,218.247005939
hdd,ext4,seek_and_write,3,500000,219.643641949
hdd,ext4,seek_and_write,4,500000,220.187719107
hdd,ext4,seek_and_write,5,500000,226.619592905
hdd,ext4,seek_and_write,6,500000,224.29826808
hdd,ext4,seek_and_write,7,500000,222.255939007
ram,tmpfs,seeks_,0,0,4.08569693565
ram,tmpfs,seeks_,1,0,4.23773097992
ram,tmpfs,seeks_,2,0,4.05411982536
ram,tmpfs,seeks_,3,0,3.98590302467
ram,tmpfs,seeks_,4,0,4.09799909592
ram,tmpfs,seeks_,5,0,4.00925683975
ram,tmpfs,seeks_,6,0,4.0257589817
ram,tmpfs,seeks_,7,0,4.22283101082
hdd,ext4,seeks_,0,0,4.60059404373
